Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Saudi Arabian Grand Prix,2022,Jeddah,ZHO,24,Alfa Romeo,27.0,15.0,17.0,2.0,4,HARD,11.0,True,1,False,False,50.0,0.54,1.0,Easy,19.0,3,14.0,0,0,1,0,Good,3.0,0,1,0,23.0,11.0,1
Saudi Arabian Grand Prix,2022,Jeddah,ZHO,24,Alfa Romeo,28.0,16.0,17.0,1.0,5,HARD,12.0,False,1,False,False,50.0,0.56,1.0,Easy,19.0,3,15.0,0,0,0,1,Good,3.0,0,1,0,22.0,12.0,1
Saudi Arabian Grand Prix,2022,Jeddah,RIC,3,McLaren,8.0,13.0,18.0,5.0,4,MEDIUM,8.0,True,1,False,False,50.0,0.16,0.0,Easy,19.0,3,12.0,0,0,1,0,Fresh,2.0,1,0,0,42.0,8.0,0
Saudi Arabian Grand Prix,2022,Jeddah,RIC,3,McLaren,9.0,15.0,17.6,2.6000000000000014,5,HARD,1.0,True,1,False,False,50.0,0.18,0.0,Easy,19.0,3,14.0,0,0,1,0,Fresh,3.0,1,0,0,41.0,1.0,0
Saudi Arabian Grand Prix,2022,Jeddah,HAM,44,Mercedes,41.0,6.0,10.8,4.800000000000001,5,MEDIUM,1.0,True,1,False,False,50.0,0.82,0.0,Easy,19.0,3,5.0,0,0,1,0,Fresh,2.0,0,0,1,9.0,1.0,0
Australian Grand Prix,2022,Melbourne,VER,1,Red Bull Racing,18.0,2.0,4.0,2.0,3,MEDIUM,18.0,True,1,False,False,58.0,0.3103448275862069,1.0,Medium,20.0,2,1.0,0,1,0,0,Good,2.0,1,0,0,40.0,18.0,1
Australian Grand Prix,2022,Melbourne,VER,1,Red Bull Racing,19.0,7.0,4.0,-3.0,3,HARD,1.0,True,1,False,False,58.0,0.3275862068965517,1.0,Medium,20.0,2,6.0,0,0,1,0,Fresh,3.0,1,0,0,39.0,1.0,1
Australian Grand Prix,2022,Melbourne,ALO,14,Alpine,53.0,14.0,17.0,3.0,3,MEDIUM,14.0,True,1,False,False,58.0,0.9137931034482759,0.0,Medium,20.0,2,13.0,0,0,1,0,Good,2.0,0,0,1,5.0,14.0,0
Australian Grand Prix,2022,Melbourne,ALO,14,Alpine,54.0,17.0,17.0,0.0,3,MEDIUM,1.0,True,1,False,False,58.0,0.9310344827586207,1.0,Medium,20.0,2,16.0,0,0,0,1,Fresh,2.0,0,0,1,4.0,1.0,0
Australian Grand Prix,2022,Melbourne,MAG,20,Haas F1 Team,40.0,16.0,16.0,0.0,5,MEDIUM,3.0,False,71,False,False,58.0,0.6896551724137931,1.0,Medium,20.0,2,15.0,0,0,0,1,Fresh,2.0,0,0,1,18.0,3.0,1
